id,representation_2024,representation_2026,minimum_representation,classification
7634,0,0.7875,0,Excluded from both; 2026 only
7635,0,1,0,Retained in 2026 only
7636,0,0.9375,0,Retained in 2026 only
7637,0,1,0,Retained in 2026 only
7638,0,0.95,0,Retained in 2026 only
7639,0,0.9375,0,Retained in 2026 only
7640,0,0.95,0,Retained in 2026 only
7641,0,0.9875,0,Retained in 2026 only
7642,0,0.9625,0,Retained in 2026 only
7643,0,1,0,Retained in 2026 only
7646,0,0.9,0,Retained in 2026 only
7647,0,1,0,Retained in 2026 only
7649,0,1,0,Retained in 2026 only
7650,0,0.9375,0,Retained in 2026 only
7652,0,0.9375,0,Retained in 2026 only
7653,0,0.7375,0,Excluded from both; 2026 only
7654,0,1,0,Retained in 2026 only
7655,0,0.875,0,Retained in 2026 only
7656,0,1,0,Retained in 2026 only
7657,0,0.9625,0,Retained in 2026 only
7658,0,0.925,0,Retained in 2026 only
7659,0,0.95,0,Retained in 2026 only
7660,0,0.9625,0,Retained in 2026 only
7661,0,0.9625,0,Retained in 2026 only
7662,0,0.875,0,Retained in 2026 only
7663,0,0.875,0,Retained in 2026 only
7664,0,1,0,Retained in 2026 only
7665,0,0.925,0,Retained in 2026 only
7666,0,0.9,0,Retained in 2026 only
7667,0,1,0,Retained in 2026 only
7668,0,1,0,Retained in 2026 only
7669,0,1,0,Retained in 2026 only
7670,0,0.575,0,Excluded from both; 2026 only
7671,0,1,0,Retained in 2026 only
7672,0,0.9875,0,Retained in 2026 only
7673,0,0.95,0,Retained in 2026 only
7674,0,0.9625,0,Retained in 2026 only
7675,0,0.8125,0,Retained in 2026 only
7676,0,1,0,Retained in 2026 only
7677,0,1,0,Retained in 2026 only
7678,0,0.9875,0,Retained in 2026 only
7679,0,0.9,0,Retained in 2026 only
7680,0,1,0,Retained in 2026 only
7681,0,1,0,Retained in 2026 only
7682,0,1,0,Retained in 2026 only
7683,0,1,0,Retained in 2026 only
7684,0,0.9,0,Retained in 2026 only
7685,0,1,0,Retained in 2026 only
7686,0,0.2625,0,Excluded from both; 2026 only
7687,0,0.9875,0,Retained in 2026 only
7688,0,1,0,Retained in 2026 only
7689,0,0.8375,0,Retained in 2026 only
7690,0,1,0,Retained in 2026 only
7691,0,1,0,Retained in 2026 only
7692,0,0.9875,0,Retained in 2026 only
7693,0,1,0,Retained in 2026 only
7694,0,0.9625,0,Retained in 2026 only
7695,0,0.975,0,Retained in 2026 only
7696,0,0.9625,0,Retained in 2026 only
7698,0,0.9,0,Retained in 2026 only
